service,method,declared_maturity,candidate_disposition,proposed_surface,reason
IdentityService,FinishWebAuthnAuthentication,SHIPPED,retain and revise,Identity ceremonies,Retain ceremony boundaries; return or accept portable root/device bindings rather than relying only on registry membership.
IdentityService,GetInvitationSummary,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,GetHandleStatus,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,IntrospectCredential,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,IssuePresenceToken,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,IssueServiceAccountCredential,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,IssueSignupEmailChallenge,PLANNED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,LinkOAuthIdentity,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,ListScopeCapabilities,SHIPPED,compose,Account/workspace view with reusable identity reads,Include identity and effective actions in bootstrap views without forcing repeat calls per page.
IdentityService,ListServiceAccounts,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,ListSessions,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,MintAnonBiscuit,SHIPPED,isolate for decision,Public-access admission,Preserve abuse controls; decide separately whether public application reads need anonymous capability minting.
IdentityService,MintGitHubAppSetupChallenge,PLANNED,relocate,Provider integrations,Keep provider-specific setup outside core VCS/device authority; retain account-scoped authorization.
IdentityService,PromoteAgentAccount,PLANNED,retire,Deferred-human claim ceremony,Retired claim model; preserve current claim semantics in the supported ceremony.
IdentityService,ListInstallationRepositories,SHIPPED,relocate,Provider integrations,Keep provider-specific setup outside core VCS/device authority; retain account-scoped authorization.
IdentityService,RegisterGitHubInstallation,PLANNED,relocate,Provider integrations,Keep provider-specific setup outside core VCS/device authority; retain account-scoped authorization.
IdentityService,RegisterPublicKey,SHIPPED,retain and revise,Identity ceremonies,Retain ceremony boundaries; return or accept portable root/device bindings rather than relying only on registry membership.
IdentityService,RequestHeldName,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,RemainingDropCodes,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,ResolveHandle,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,ResolveSignupInvite,PLANNED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,RevokeCredential,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,RevokeDevice,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,RevokeServiceAccount,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,RevokeSession,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,RotateCredential,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,StoreProviderToken,PLANNED,relocate,Provider integrations,Keep provider-specific setup outside core VCS/device authority; retain account-scoped authorization.
IdentityService,SubmitRecoveryProof,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,VerifySignupEmail,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,VetoRecovery,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,WaitForDeviceAuthorization,SHIPPED,replace,Portable device enrollment and optional rendezvous,User-root attachment and possession proof must survive without Weft; hosted rendezvous is optional assistance.
IdentityService,WhoAmI,SHIPPED,compose,Account/workspace view with reusable identity reads,Include identity and effective actions in bootstrap views without forcing repeat calls per page.
NotificationService,ListNotifications,SHIPPED,unify delivery mechanics,Notification view,Reuse snapshot/update/cursor conventions while retaining notification delivery semantics.
NotificationService,SubscribeNotifications,SHIPPED,unify delivery mechanics,Notification view,Reuse snapshot/update/cursor conventions while retaining notification delivery semantics.
NotificationService,MarkNotificationRead,SHIPPED,retain semantic operation,Notification delivery/preferences,"Do not conflate notification read state, subscription preferences and attention resolution."
NotificationService,GetNotificationPreferences,SHIPPED,retain semantic operation,Notification delivery/preferences,"Do not conflate notification read state, subscription preferences and attention resolution."
NotificationService,SetNotificationPreferences,SHIPPED,retain semantic operation,Notification delivery/preferences,"Do not conflate notification read state, subscription preferences and attention resolution."
NotificationService,Unsubscribe,PLANNED,retain semantic operation,Notification delivery/preferences,"Do not conflate notification read state, subscription preferences and attention resolution."
OperationService,SubmitOperation,SHIPPED,retain and complete selectively,Background operation lifecycle,"Reuse idempotency, typed spec/result, watch and honest cancellation; atomic batches remain a capability until implemented."
OperationService,SubmitOperationBatch,SHIPPED,retain and complete selectively,Background operation lifecycle,"Reuse idempotency, typed spec/result, watch and honest cancellation; atomic batches remain a capability until implemented."
OperationService,SetRemoteLink,PLANNED,relocate and compose read,Provider/remote integration configuration,Retain truthful supported-direction reporting; include remote health in workspace/spool view.
OperationService,GetRemoteLink,PLANNED,relocate and compose read,Provider/remote integration configuration,Retain truthful supported-direction reporting; include remote health in workspace/spool view.
OperationService,GetOperation,SHIPPED,retain and complete selectively,Background operation lifecycle,"Reuse idempotency, typed spec/result, watch and honest cancellation; atomic batches remain a capability until implemented."
OperationService,BatchGetOperations,SHIPPED,retain and complete selectively,Background operation lifecycle,"Reuse idempotency, typed spec/result, watch and honest cancellation; atomic batches remain a capability until implemented."
OperationService,GetOperationBatch,SHIPPED,retain and complete selectively,Background operation lifecycle,"Reuse idempotency, typed spec/result, watch and honest cancellation; atomic batches remain a capability until implemented."
OperationService,ListOperations,SHIPPED,retain and complete selectively,Background operation lifecycle,"Reuse idempotency, typed spec/result, watch and honest cancellation; atomic batches remain a capability until implemented."
OperationService,WatchOperations,SHIPPED,retain and complete selectively,Background operation lifecycle,"Reuse idempotency, typed spec/result, watch and honest cancellation; atomic batches remain a capability until implemented."
OperationService,CancelOperation,SHIPPED,retain and complete selectively,Background operation lifecycle,"Reuse idempotency, typed spec/result, watch and honest cancellation; atomic batches remain a capability until implemented."
OwnerAuthorizationService,BootstrapOwnerRoot,PLANNED,retain and revise,Root and resource governance,"Keep exact signed transitions, recovery delay/veto and purge authority distinct from ordinary device access."
OwnerAuthorizationService,RotateOwnerKey,PLANNED,retain and revise,Root and resource governance,"Keep exact signed transitions, recovery delay/veto and purge authority distinct from ordinary device access."
OwnerAuthorizationService,RecoverOwnerKey,PLANNED,retain and revise,Root and resource governance,"Keep exact signed transitions, recovery delay/veto and purge authority distinct from ordinary device access."
OwnerAuthorizationService,ChangeOwnerRecoveryPolicy,PLANNED,retain and revise,Root and resource governance,"Keep exact signed transitions, recovery delay/veto and purge authority distinct from ordinary device access."
OwnerAuthorizationService,GetCurrentOwnerKeyring,PLANNED,compose and retain proof read,Root and governance state,Return relevant root state with enrollment/sync/views; retain an explicit proof-chain read when needed.
OwnerAuthorizationService,BeginAgentOwnerClaim,PLANNED,retire,Deferred-human claim ceremony,Retired claim routes; use the supported root-transition ceremony.
OwnerAuthorizationService,ClaimAgentOwner,PLANNED,retire,Deferred-human claim ceremony,Retired claim routes; use the supported root-transition ceremony.
OwnerAuthorizationService,SubmitOwnerAuthorization,PLANNED,retain and revise,Root and resource governance,"Keep exact signed transitions, recovery delay/veto and purge authority distinct from ordinary device access."
OwnerAuthorizationService,TransferResourceOwnership,PLANNED,retain and revise,Root and resource governance,"Keep exact signed transitions, recovery delay/veto and purge authority distinct from ordinary device access."
PullRequestReviewService,GetReviewAnalysisResult,SHIPPED,consolidate lifecycle,Review analysis operation,Provider PR remains an input selector; use common background progress/result/watch semantics.
PullRequestReviewService,GetReviewAnalysisStatus,SHIPPED,consolidate lifecycle,Review analysis operation,Provider PR remains an input selector; use common background progress/result/watch semantics.
PullRequestReviewService,StartReviewAnalysis,SHIPPED,consolidate lifecycle,Review analysis operation,Provider PR remains an input selector; use common background progress/result/watch semantics.
RegistryService,AttachChild,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,CreateGrant,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,CreateInvitation,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,CreateSpool,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,DeleteBookmark,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,DeleteGrant,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,DeleteSpool,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,DetachChild,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,GetCurrentUserSpool,SHIPPED,compose and consolidate selectors,Spool catalog/workspace views,"Serve bounded requested catalog, hierarchy, membership and summary sections without per-row client joins."
RegistryService,GetSpool,SHIPPED,compose and consolidate selectors,Spool catalog/workspace views,"Serve bounded requested catalog, hierarchy, membership and summary sections without per-row client joins."
RegistryService,GrantSupportAccess,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,ListBookmarks,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,ListChildren,SHIPPED,compose and consolidate selectors,Spool catalog/workspace views,"Serve bounded requested catalog, hierarchy, membership and summary sections without per-row client joins."
RegistryService,ListGrants,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,ListInvitations,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,ListMembers,SHIPPED,compose and consolidate selectors,Spool catalog/workspace views,"Serve bounded requested catalog, hierarchy, membership and summary sections without per-row client joins."
RegistryService,ListSpools,SHIPPED,compose and consolidate selectors,Spool catalog/workspace views,"Serve bounded requested catalog, hierarchy, membership and summary sections without per-row client joins."
RegistryService,ListExploreMetadata,SHIPPED,compose and consolidate selectors,Spool catalog/workspace views,"Serve bounded requested catalog, hierarchy, membership and summary sections without per-row client joins."
RegistryService,ListSupportAccessGrants,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,ListActors,PLANNED,replace planned shape,Device and checkout projections,Separate actor/run provenance from device-local checkout state; advertise support per endpoint.
RegistryService,ListWorktrees,PLANNED,replace planned shape,Device and checkout projections,Separate actor/run provenance from device-local checkout state; advertise support per endpoint.
RegistryService,ResolveMonorepo,SHIPPED,compose and consolidate selectors,Spool catalog/workspace views,"Serve bounded requested catalog, hierarchy, membership and summary sections without per-row client joins."
RegistryService,ResolveSubjects,SHIPPED,compose and retain batch primitive,Principal summaries,Include principal summaries in views; retain a bounded batch resolver for additional identities.
RegistryService,RevokeInvitation,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,RevokeSupportAccess,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,SetNamespaceVisibility,SHIPPED,consolidate,SetSpoolVisibility,Namespace is a spool facet; one resource identity and visibility operation.
RegistryService,SetSpoolVisibility,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,UpdateGrant,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RegistryService,UpdateSpool,SHIPPED,consolidate where authority matches,UpdateSpool,Typed update masks and preconditions; preserve per-field authority rather than one broad settings permission.
RegistryService,UpdateSpoolSettings,SHIPPED,consolidate where authority matches,UpdateSpool,Typed update masks and preconditions; preserve per-field authority rather than one broad settings permission.
RegistryService,UpsertBookmark,SHIPPED,retain semantic operation,Spool administration and user preferences,"Use canonical spool IDs/targets; preserve grants, invitations, edges, support access and bookmarks."
RepoSyncService,ListRefs,SHIPPED,compose and retain paged enumeration,Sync opening/ref catalog,Advertise refs/HEAD/identities within transfer opening when useful; retain paging for large catalogs.
RepoSyncService,Pull,SHIPPED,retain and simplify opening,Push/Pull,"Preserve streaming, partial fetch, resumability, owner evidence and provider-plan consent; include required metadata in the exchange."
RepoSyncService,Push,SHIPPED,retain and simplify opening,Push/Pull,"Preserve streaming, partial fetch, resumability, owner evidence and provider-plan consent; include required metadata in the exchange."
RepoSyncService,UpdateRef,SHIPPED,retain CAS primitive,Source ref update,Stable typed selector and exact old/new revision; no redundant name+ID discovery once identity is known.
RepositoryService,GetBlame,SHIPPED,consolidate bounded reads,Source-content reads,Typed batch/projection requests pinned to exact revision(s); stream large bytes and avoid client-dependent followups.
RepositoryService,GetBlob,SHIPPED,consolidate bounded reads,Source-content reads,Typed batch/projection requests pinned to exact revision(s); stream large bytes and avoid client-dependent followups.
RepositoryService,GetCompare,SHIPPED,consolidate bounded reads,Source-content reads,Typed batch/projection requests pinned to exact revision(s); stream large bytes and avoid client-dependent followups.
RepositoryService,GetContextHistory,SHIPPED,relocate and preserve semantics,Collaboration context records,Keep context snapshots/history separate from live context; share canonical record operations and typed read projections.
RepositoryService,GetDiff,SHIPPED,consolidate bounded reads,Source-content reads,Typed batch/projection requests pinned to exact revision(s); stream large bytes and avoid client-dependent followups.
RepositoryService,GetRefs,SHIPPED,compose and consolidate selectors,Thread/source views,"Resolve ref once; return stable identities, exact revisions and bounded history in requested projections."
RepositoryService,GetSemanticHotSpots,SHIPPED,retain semantic operation,Derived source analysis,Expose availability/freshness and use paged scoped analysis.
RepositoryService,GetState,SHIPPED,compose and consolidate selectors,Thread/source views,"Resolve ref once; return stable identities, exact revisions and bounded history in requested projections."
RepositoryService,GetTree,SHIPPED,consolidate bounded reads,Source-content reads,Typed batch/projection requests pinned to exact revision(s); stream large bytes and avoid client-dependent followups.
RepositoryService,ListActions,SHIPPED,compose with typed detail read,Source evidence and facet attachments,Expose useful typed facts in views while retaining durable transfer identities; planned attachment read needs implementation.
RepositoryService,ListContext,SHIPPED,relocate and preserve semantics,Collaboration context records,Keep context snapshots/history separate from live context; share canonical record operations and typed read projections.
RepositoryService,ListContextSuggestions,SHIPPED,relocate and preserve semantics,Collaboration context records,Keep context snapshots/history separate from live context; share canonical record operations and typed read projections.
RepositoryService,ListProvenanceSummaries,SHIPPED,consolidate bounded reads,Source-content reads,Typed batch/projection requests pinned to exact revision(s); stream large bytes and avoid client-dependent followups.
RepositoryService,ListStateAttachments,PLANNED,compose with typed detail read,Source evidence and facet attachments,Expose useful typed facts in views while retaining durable transfer identities; planned attachment read needs implementation.
RepositoryService,ListStates,SHIPPED,compose and consolidate selectors,Thread/source views,"Resolve ref once; return stable identities, exact revisions and bounded history in requested projections."
RepositoryService,ListThreadHistories,PLANNED,replace planned shape,Paged thread collection with capture previews,"Remove per-thread fan-out and add real continuation/completeness, not a larger capped result."
RepositoryService,ReviseContext,SHIPPED,relocate and preserve semantics,Collaboration context records,Keep context snapshots/history separate from live context; share canonical record operations and typed read projections.
RepositoryService,SetContext,SHIPPED,relocate and preserve semantics,Collaboration context records,Keep context snapshots/history separate from live context; share canonical record operations and typed read projections.
RepositoryService,SupersedeContext,SHIPPED,relocate and preserve semantics,Collaboration context records,Keep context snapshots/history separate from live context; share canonical record operations and typed read projections.
RepositoryService,SubscribeRepoEvents,SHIPPED,replace subscription shape,Snapshot followed by view updates,"Define replay cursor, resync, filtering, revocation and completion at the view boundary."
SearchService,Search,SHIPPED,retain and extend source model,Search,"Typed scope/facet selectors, stable result identities, paging and explicit per-source completeness."
StateReviewService,GetRepoSignalHealth,SHIPPED,retain semantic operation,Review decisions/progress/health,"Keep human opinion distinct from evidence, source state lifecycle and permission to land."
StateReviewService,GetReviewPayload,SHIPPED,compose shared review projection,Thread/revision review view,"Return exact source, evidence, discussion/readiness and progress sections without repeated client joins."
StateReviewService,GetReviewProgress,SHIPPED,compose shared review projection,Thread/revision review view,"Return exact source, evidence, discussion/readiness and progress sections without repeated client joins."
StateReviewService,ListSignatures,SHIPPED,compose shared review projection,Thread/revision review view,"Return exact source, evidence, discussion/readiness and progress sections without repeated client joins."
StateReviewService,RecordCheckAck,PLANNED,retain semantic operation,Review decisions/progress/health,"Keep human opinion distinct from evidence, source state lifecycle and permission to land."
StateReviewService,RecordVerdict,SHIPPED,retain semantic operation,Review decisions/progress/health,"Keep human opinion distinct from evidence, source state lifecycle and permission to land."
StateReviewService,SignState,SHIPPED,consolidate after semantic parity check,RecordVerdict positive decision,Positive verdict already overlaps signing; preserve ReviewKind and exact signed payload semantics.
WorkflowService,GetThread,SHIPPED,consolidate read model,Thread and workspace snapshot/update reads,One bounded domain read per source; separate durable thread identity from device checkout/run overlays.
WorkflowService,GetWorkspaceSummary,SHIPPED,consolidate read model,Thread and workspace snapshot/update reads,One bounded domain read per source; separate durable thread identity from device checkout/run overlays.
WorkflowService,ListThreads,SHIPPED,consolidate read model,Thread and workspace snapshot/update reads,One bounded domain read per source; separate durable thread identity from device checkout/run overlays.
WorkflowService,StreamWorkspaceSummary,PLANNED,consolidate read model,Thread and workspace snapshot/update reads,One bounded domain read per source; separate durable thread identity from device checkout/run overlays.
WorkflowService,AddApprovalGroupMember,SHIPPED,retain semantic operation,Approval and landing policy administration,Keep structured groups/requirements and distinct mutation permissions; include policy summaries in settings views.
WorkflowService,AddPolicyGroupRequirement,SHIPPED,retain semantic operation,Approval and landing policy administration,Keep structured groups/requirements and distinct mutation permissions; include policy summaries in settings views.
WorkflowService,ApproveThread,SHIPPED,retain and compose reads,Thread approval decisions,Do not equate approval with evidence signatures; bind to exact reviewed revision and policy context.
WorkflowService,CheckMergeEligibility,SHIPPED,compose and preserve evaluation,Thread readiness/landing preview,Include requirements and policy version in view; execution independently rechecks exact preconditions.
WorkflowService,LandStack,SHIPPED,retain and extend target model,Land,Keep atomic same-spool semantics; explicitly select local checkout or hosted target and report publication separately.
WorkflowService,CreateApprovalGroup,SHIPPED,retain semantic operation,Approval and landing policy administration,Keep structured groups/requirements and distinct mutation permissions; include policy summaries in settings views.
WorkflowService,CreateThreadPolicy,SHIPPED,retain semantic operation,Approval and landing policy administration,Keep structured groups/requirements and distinct mutation permissions; include policy summaries in settings views.
WorkflowService,DeleteApprovalGroup,SHIPPED,retain semantic operation,Approval and landing policy administration,Keep structured groups/requirements and distinct mutation permissions; include policy summaries in settings views.
WorkflowService,DeleteThreadPolicy,SHIPPED,retain semantic operation,Approval and landing policy administration,Keep structured groups/requirements and distinct mutation permissions; include policy summaries in settings views.
WorkflowService,ListApprovalGroups,SHIPPED,retain semantic operation,Approval and landing policy administration,Keep structured groups/requirements and distinct mutation permissions; include policy summaries in settings views.
WorkflowService,ListThreadApprovals,SHIPPED,retain and compose reads,Thread approval decisions,Do not equate approval with evidence signatures; bind to exact reviewed revision and policy context.
